Token,LOC,PER,ORG,MISC
pour,,,,
commencer,,,,
,,,,
que,,,,
ma,,,,
naissance,,,,
ne,,,,
porta,,,,
pas,,,,
bonheur,,,,
à,,,,
la,,,X,
maison,,,X,
Eyssette,,,X,
.,,,,
La,,X,,
vieille,,X,,
Annou,,X,,
,,,,
notre,,,,
cuisinière,,,,
,,,,
m',,,,
a,,,,
souvent,,,,
conté,,,,
depuis,,,,
comme,,,,
quoi,,,,
mon,,,,
père,,,,
,,,,
en,,,,
voyage,,,,
à,,,,
ce,,,,
moment,,,,
,,,,
reçut,,,,
en,,,,
même,,,,
temps,,,,
la,,,,
nouvelle,,,,
de,,,,
mon,,,,
apparition,,,,
dans,,,,
le,,,,
monde,,,,
et,,,,
celle,,,,
de,,,,
la,,,,
disparition,,,,
d',,,,
un,,,,
de,,,,
ses,,,,
clients,,,,
de,,,,
Marseille,X,,,
,,,,
qui,,,,
lui,,,,
emportait,,,,
plus,,,,
de,,,,
quarante,,,,
mille,,,,
francs,,,,
,,,,
si,,,,
bien,,,,
que,,,,
M.,,X,,
Eyssette,,X,,
,,,,
heureux,,,,
et,,,,
désolé,,,,
du,,,,
même,,,,
coup,,,,
,,,,
se,,,,
demandait,,,,
,,,,
comme,,,,
l',,,,
autre,,,,
,,,,
s',,,,
il,,,,
devait,,,,
pleurer,,,,
pour,,,,
la,,,,
disparition,,,,
du,,,,
client,,,,
de,,,,
Marseille,X,,,
,,,,
ou,,,,
rire,,,,
pour,,,,
l',,,,
heureuse,,,,
arrivée,,,,
du,,X,,
Petit,,X,,
Daniel,,X,,
...,,,,
Il,,,,
fallait,,,,
pleurer,,,,
,,,,
mon,,,,
bon,,,,
monsieur,,X,,
Eyssette,,X,,
,,,,
il,,,,
fallait,,,,
pleurer,,,,
doublement,,,,
.,,,,
C',,,,
est,,,,
une,,,,
vérité,,,,
,,,,
je,,,,
fus,,,,
la,,,,
mauvaise,,,,
étoile,,,,
de,,,,
mes,,,,
parents,,,,
.,,,,
Du,,,,
jour,,,,
de,,,,
ma,,,,
naissance,,,,
,,,,
d',,,,
incroyables,,,,
malheurs,,,,
les,,,,
assaillirent,,,,
par,,,,
vingt,,,,
endroits,,,,
.,,,,
D',,,,
abord,,,,
nous,,,,
eûmes,,,,
donc,,,,
le,,,,
client,,,,
de,,,,
Marseille,X,,,
,,,,
puis,,,,
deux,,,,
fois,,,,
le,,,,
feu,,,,
dans,,,,
la,,,,
même,,,,
année,,,,
,,,,
puis,,,,
la,,,,
grève,,,,
des,,,,
ourdisseuses,,,,
,,,,
puis,,,,
notre,,,,
brouille,,,,
avec,,,,
l',,X,,
oncle,,X,,
Baptiste,,X,,
?,,,,
,,,,
puis,,,,
un,,,,
procès,,,,
très,,,,
coûteux,,,,
avec,,,,
nos,,,,
marchands,,,,
de,,,,
couleurs,,,,
,,,,
puis,,,,
,,,,
enfin,,,,
,,,,
la,,,,
révolution,,,,
de,,,,
18,,,,
...,,,,
,,,,
qui,,,,
nous,,,,
donna,,,,
le,,,,
coup,,,,
de,,,,
grâce,,,,
.,,,,
À,,,,
partir,,,,
de,,,,
ce,,,,
moment,,,,
,,,,
la,,,,
fabrique,,,,
ne,,,,
battit,,,,
plus,,,,
que,,,,
d',,,,
une,,,,
aile,,,,
,,,,
petit,,,,
à,,,,
petit,,,,
,,,,
les,,,,
ateliers,,,,
se,,,,
vidèrent,,,,
:,,,,
chaque,,,,
semaine,,,,
un,,,,
métier,,,,
à,,,,
bas,,,,
,,,,
chaque,,,,
mois,,,,
une,,,,
table,,,,
d',,,,
impression,,,,
de,,,,
moins,,,,
.,,,,
C',,,,
était,,,,
pitié,,,,
de,,,,
voir,,,,
la,,,,
vie,,,,
s',,,,
en,,,,
aller,,,,
de,,,,
notre,,,,
maison,,,,
comme,,,,
d',,,,
un,,,,
corps,,,,
malade,,,,
,,,,
lentement,,,,
,,,,
tous,,,,
les,,,,
jours,,,,
un,,,,
peu,,,,
.,,,,
Une,,,,
fois,,,,
,,,,
on,,,,
n',,,,
entra,,,,
plus,,,,
dans,,,,
les,,,,
salles,,,,
du,,,,
second,,,,
.,,,,
Une,,,,
autre,,,,
fois,,,,
,,,,
la,,,,
cour,,,,
du,,,,
fond,,,,
fut,,,,
condamnée,,,,
.,,,,
Cela,,,,
dura,,,,
ainsi,,,,
pendant,,,,
deux,,,,
ans,,,,
,,,,
pendant,,,,
deux,,,,
ans,,,,
,,,,
la,,,,
fabrique,,,,
agonisa,,,,
.,,,,
Enfin,,,,
,,,,
un,,,,
jour,,,,
,,,,
les,,,,
ouvriers,,,,
ne,,,,
vinrent,,,,
plus,,,,
,,,,
la,,,,
cloche,,,,
des,,,,
ateliers,,,,
ne,,,,
sonna,,,,
pas,,,,
,,,,
le,,,,
puits,,,,
à,,,,
roue,,,,
cessa,,,,
de,,,,
grincer,,,,
,,,,
l',,,,
eau,,,,
des,,,,
grands,,,,
bassins,,,,
,,,,
dans,,,,
lesquels,,,,
on,,,,
lavait,,,,
les,,,,
tissus,,,,
,,,,
demeura,,,,
immobile,,,,
,,,,
et,,,,
bientôt,,,,
,,,,
dans,,,,
toute,,,,
la,,,,
fabrique,,,,
,,,,
il,,,,
ne,,,,
resta,,,,
plus,,,,
que,,,,
M.,,X,,
et,,X,,
Mme,,X,,
Eyssette,,X,,
,,,,
la,,X,,
vieille,,X,,
Annou,,X,,
,,,,
mon,,,,
frère,,,,
Jacques,,X,,
et,,,,
moi,,,,
,,,,
puis,,,,
,,,,
là,,,,
-,,,,
bas,,,,
,,,,
dans,,,,
le,,,,
fond,,,,
,,,,
pour,,,,
garder,,,,
les,,,,
ateliers,,,,
,,,,
le,,X,,
concierge,,X,,
Colombe,,X,,
et,,,,
son,,,,
fils,,,,
le,,X,,
petit,,X,,
Rouget,,X,,
.,,,,
C',,,,
était,,,,
fini,,,,
,,,,
nous,,,,
étions,,,,
ruinés,,,,
.,,,,
J',,,,
avais,,,,
alors,,,,
six,,,,
ou,,,,
sept,,,,
ans,,,,
.,,,,
Comme,,,,
j',,,,
étais,,,,
très,,,,
frêle,,,,
et,,,,
maladif,,,,
,,,,
mes,,,,
parents,,,,
n',,,,
avaient,,,,
pas,,,,
voulu,,,,
m',,,,
envoyer,,,,
à,,,,
l',,,,
école,,,,
.,,,,
Ma,,,,
mère,,,,
m',,,,
avait,,,,
seulement,,,,
appris,,,,
à,,,,
lire,,,,
et,,,,
à,,,,
écrire,,,,
,,,,
plus,,,,
quelques,,,,
mots,,,,
d',,,,
espagnol,,,,
et,,,,
deux,,,,
ou,,,,
trois,,,,
airs,,,,
de,,,,
guitare,,,,
,,,,
à,,,,
l',,,,
aide,,,,
desquels,,,,
on,,,,
m',,,,
avait,,,,
fait,,,,
,,,,
dans,,,,
la,,,,
famille,,,,
,,,,
une,,,,
réputation,,,,
de,,,,
petit,,,,
prodige,,,,
.,,,,
Grâce,,,,
à,,,,
ce,,,,
système,,,,
d',,,,
éducation,,,,
,,,,
je,,,,
ne,,,,
bougeais,,,,
jamais,,,,
de,,,,
chez,,,,
nous,,,,
,,,,
et,,,,
je,,,,
pus,,,,
assister,,,,
dans,,,,
tous,,,,
ses,,,,
détails,,,,
à,,,,
l',,,,
agonie,,,,
de,,,,
la,,,X,
maison,,,X,
Eyssette,,,X,
.,,,,
Ce,,,,
spectacle,,,,
me,,,,
laissa,,,,
froid,,,,
,,,,
je,,,,
l',,,,
avoue,,,,
,,,,
même,,,,
je,,,,
trouvai,,,,
à,,,,
notre,,,,
ruine,,,,
ce,,,,
côté,,,,
très,,,,
agréable,,,,
que,,,,
je,,,,
pouvais,,,,
gambader,,,,
à,,,,
ma,,,,
guise,,,,
par,,,,
toute,,,,
la,,,,
fabrique,,,,
,,,,
ce,,,,
qui,,,,
,,,,
du,,,,
temps,,,,
des,,,,
ouvriers,,,,
,,,,
ne,,,,
m',,,,
était,,,,
permis,,,,
que,,,,
le,,,,
dimanche,,,,
.,,,,
Je,,,,
disais,,,,
gravement,,,,
au,,X,,
petit,,X,,
Rouget,,X,,
:,,,,
«,,,,
Maintenant,,,,
,,,,
la,,,,
fabrique,,,,
est,,,,
à,,,,
moi,,,,
,,,,
on,,,,
me,,,,
l',,,,
a,,,,
donnée,,,,
pour,,,,
jouer,,,,
.,,,,
»,,,,
Et,,,,
le,,X,,
petit,,X,,
Rouget,,X,,
me,,,,
croyait,,,,
.,,,,
Il,,,,
croyait,,,,
tout,,,,
ce,,,,
que,,,,
je,,,,
lui,,,,
disais,,,,
,,,,
cet,,,,
imbécile,,,,
.,,,,
À,,,,
la,,,,
maison,,,,
,,,,
par,,,,
exemple,,,,
,,,,
tout,,,,
le,,,,
monde,,,,
ne,,,,
prit,,,,
pas,,,,
notre,,,,
débâcle,,,,
aussi,,,,
gaiement,,,,
.,,,,
Tout,,,,
à,,,,
coup,,,,
,,,,
M.,,X,,
Eyssette,,X,,
devint,,,,
terrible,,,,
:,,,,
c',,,,
était,,,,
dans,,,,
l',,,,
habitude,,,,
une,,,,
nature,,,,
enflammée,,,,
,,,,
violente,,,,
,,,,
exagérée,,,,
,,,,
aimant,,,,
les,,,,
cris,,,,
,,,,
la,,,,
casse,,,,
et,,,,
les,,,,
tonnerres,,,,
,,,,
au,,,,
fond,,,,
,,,,
un,,,,
très,,,,
excellent,,,,
homme,,,,
,,,,
ayant,,,,
seulement,,,,
la,,,,
main,,,,
leste,,,,
,,,,
le,,,,
verbe,,,,
haut,,,,
et,,,,
l',,,,
impérieux,,,,
besoin,,,,
de,,,,
donner,,,,
le,,,,
tremblement,,,,
à,,,,
tout,,,,
ce,,,,
qui,,,,
l',,,,
entourait,,,,
.,,,,
La,,,,
mauvaise,,,,
fortune,,,,
,,,,
au,,,,
lieu,,,,
de,,,,
l',,,,
abattre,,,,
,,,,
l',,,,
exaspéra,,,,
.,,,,
Du,,,,
soir,,,,
au,,,,
matin,,,,
,,,,
ce,,,,
fut,,,,
une,,,,
colère,,,,
formidable,,,,
qui,,,,
,,,,
ne,,,,
sachant,,,,
à,,,,
qui,,,,
s',,,,
en,,,,
prendre,,,,
,,,,
s',,,,
attaquait,,,,
à,,,,
tout,,,,
,,,,
au,,,,
soleil,,,,
,,,,
au,,,,
mistral,,,,
,,,,
à,,,,
Jacques,,X,,
,,,,
à,,,,
la,,X,,
vieille,,X,,
Annou,,X,,
,,,,
à,,,,
la,,,,
Révolution,,,,
,,,,
oh,,,,
!,,,,
surtout,,,,
à,,,,
la,,,,
Révolution,,,,
!,,,,
...,,,,
À,,,,
entendre,,,,
mon,,,,
père,,,,
,,,,
vous,,,,
auriez,,,,
juré,,,,
que,,,,
cette,,,,
révolution,,,,
de,,,,
18,,,,
...,,,,
,,,,
qui,,,,
nous,,,,
avait,,,,
mis,,,,
à,,,,
mal,,,,
,,,,
était,,,,
spécialement,,,,
dirigée,,,,
contre,,,,
nous,,,,
.,,,,
Aussi,,,,
,,,,
je,,,,
vous,,,,
prie,,,,
de,,,,
croire,,,,
que,,,,
les,,,,
révolutionnaires,,,,
n',,,,
étaient,,,,
pas,,,,
en,,,,
odeur,,,,
de,,,,
sainteté,,,,
dans,,,,
la,,,X,
maison,,,X,
Eyssette,,,X,
.,,,,
Dieu,,,,X
sait,,,,
ce,,,,
que,,,,
nous,,,,
avons,,,,
dit,,,,
de,,,,
ces,,,,
messieurs,,,,
dans,,,,
ce,,,,
temps,,,,
.,,,,
là,,,,
...,,,,
Encore,,,,
aujourd'hui,,,,
,,,,
quand,,,,
le,,,,
vieux,,,,
papa,,,,
Eyssette,,X,,
(,,,,
que,,,,
Dieu,,,,X
me,,,,
le,,,,
conserve,,,,
!,,,,
),,,,
sent,,,,
venir,,,,
son,,,,
accès,,,,
de,,,,
goutte,,,,
,,,,
il,,,,
s',,,,
étend,,,,
péniblement,,,,
sur,,,,
sa,,,,
chaise,,,,
longue,,,,
,,,,
et,,,,
nous,,,,
l',,,,
entendons,,,,
dire,,,,
:,,,,
«,,,,
Oh,,,,
!,,,,
ces,,,,
révolutionnaires,,,,
!,,,,
...,,,,
»,,,,
À,,,,
l',,,,
époque,,,,
dont,,,,
je,,,,
vous,,,,
parle,,,,
,,,,
M.,,X,,
Eyssette,,X,,
n',,,,
avait,,,,
pas,,,,
la,,,,
goutte,,,,
,,,,
et,,,,
la,,,,
douleur,,,,
de,,,,
se,,,,
voir,,,,
ruiné,,,,
en,,,,
avait,,,,
fait,,,,
un,,,,
homme,,,,
terrible,,,,
que,,,,
personne,,,,
ne,,,,
pouvait,,,,
approcher,,,,
.,,,,
Il,,,,
fallut,,,,
le,,,,
saigner,,,,
deux,,,,
fois,,,,
en,,,,
quinze,,,,
jours,,,,
.,,,,
Autour,,,,
de,,,,
lui,,,,
,,,,
chacun,,,,
se,,,,
taisait,,,,
,,,,
on,,,,
avait,,,,
peur,,,,
.,,,,
À,,,,
table,,,,
,,,,
nous,,,,
demandions,,,,
du,,,,
pain,,,,
à,,,,
voix,,,,
basse,,,,
.,,,,
On,,,,
n',,,,
osait,,,,
pas,,,,
même,,,,
pleurer,,,,
devant,,,,
lui,,,,
.,,,,
Aussi,,,,
,,,,
dès,,,,
qu',,,,
il,,,,
avait,,,,
tourné,,,,
les,,,,
talons,,,,
,,,,
ce,,,,
n',,,,
était,,,,
qu',,,,
un,,,,
sanglot,,,,
,,,,
d',,,,
un,,,,
bout,,,,
de,,,,
la,,,,
maison,,,,
à,,,,
l',,,,
autre,,,,
,,,,
ma,,,,
mère,,,,
,,,,
la,,X,,
vieille,,X,,
Annou,,X,,
,,,,
mon,,,,
frère,,,,
Jacques,,X,,
et,,,,
aussi,,,,
mon,,,,
grand,,,,
frère,,,,
l',,X,,
abbé,,X,,
,,,,
lorsqu',,,,
il,,,,
venait,,,,
nous,,,,
voir,,,,
,,,,
tout,,,,
le,,,,
monde,,,,
s',,,,
y,,,,
mettait,,,,
.,,,,
Ma,,,,
mère,,,,
,,,,
cela,,,,
se,,,,
conçoit,,,,
,,,,
pleurait,,,,
de,,,,
voir,,,,
M.,,X,,
Eyssette,,X,,
malheureux,,,,
,,,,
l',,,,
abbé,,,,
et,,,,
la,,X,,
vieille,,X,,
Annou,,X,,
pleuraient,,,,
de,,,,
voir,,,,
pleurer,,,,
Mme,,X,,
Eyssette,,X,,
,,,,
quant,,,,
à,,,,
Jacques,,X,,
,,,,
trop,,,,
jeune,,,,
encore,,,,
pour,,,,
comprendre,,,,
nos,,,,
malheurs,,,,
--,,,,
il,,,,
avait,,,,
à,,,,
peine,,,,
deux,,,,
ans,,,,
de,,,,
plus,,,,
que,,,,
moi,,,,
--,,,,
il,,,,
pleurait,,,,
par,,,,
besoin,,,,
,,,,
pour,,,,
le,,,,
plaisir,,,,
.,,,,
Un,,,,
singulier,,,,
enfant,,,,
que,,,,
mon,,,,
frère,,,,
Jacques,,X,,
,,,,
en,,,,
voilà,,,,
un,,,,
qui,,,,
avait,,,,
le,,,,
don,,,,
des,,,,
larmes,,,,
!,,,,
D',,,,
aussi,,,,
loin,,,,
qu',,,,
il,,,,
me,,,,
souvienne,,,,
,,,,
je,,,,
le,,,,
vois,,,,
les,,,,
yeux,,,,
rouges,,,,
et,,,,
la,,,,
joue,,,,
ruisselante,,,,
.,,,,
Le,,,,
soir,,,,
,,,,
le,,,,
matin,,,,
,,,,
de,,,,
jour,,,,
,,,,
de,,,,
nuit,,,,
,,,,
en,,,,
classe,,,,
,,,,
à,,,,
la,,,,
maison,,,,
,,,,
en,,,,
promenade,,,,
,,,,
il,,,,
pleurait,,,,
sans,,,,
cesse,,,,
,,,,
il,,,,
pleurait,,,,
partout,,,,
.,,,,
Quand,,,,
on,,,,
lui,,,,
disait,,,,
:,,,,
«,,,,
Qu',,,,
as,,,,
-,,,,
tu,,,,
?,,,,
»,,,,
il,,,,
répondait,,,,
en,,,,
sanglotant,,,,
:,,,,
«,,,,
Je,,,,
n',,,,
ai,,,,
rien,,,,
.,,,,
»,,,,
Et,,,,
,,,,
le,,,,
plus,,,,
curieux,,,,
,,,,
c',,,,
est,,,,
qu',,,,
il,,,,
n',,,,
avait,,,,
rien,,,,
.,,,,
Il,,,,
pleurait,,,,
comme,,,,
on,,,,
se,,,,
mouche,,,,
,,,,
plus,,,,
souvent,,,,
,,,,
voilà,,,,
tout,,,,
.,,,,
Quelquefois,,,,
M.,,X,,
Eyssette,,X,,
,,,,
exaspéré,,,,
,,,,
disait,,,,
à,,,,
ma,,,,
mère,,,,
:,,,,
«,,,,
Cet,,,,
enfant,,,,
est,,,,
ridicule,,,,
,,,,
regardez,,,,
-,,,,
le,,,,
...,,,,
c',,,,
est,,,,
un,,,,
fleuve,,,,
.,,,,
»,,,,
À,,,,
quoi,,,,
Mme,,X,,
Eyssette,,X,,
répondait,,,,
de,,,,
sa,,,,
voix,,,,
douce,,,,
:,,,,
«,,,,
Que,,,,
veux,,,,
-,,,,
tu,,,,
,,,,
mon,,,,
ami,,,,
?,,,,
cela,,,,
passera,,,,
en,,,,
grandissant,,,,
,,,,
à,,,,
son,,,,
âge,,,,
,,,,
j',,,,
étais,,,,
comme,,,,
lui,,,,
.,,,,
»,,,,
En,,,,
attendant,,,,
,,,,
Jacques,,X,,
grandissait,,,,
,,,,
il,,,,
grandissait,,,,
beaucoup,,,,
même,,,,
,,,,
et,,,,
cela,,,,
ne,,,,
lui,,,,
passait,,,,
pas,,,,
.,,,,
Tout,,,,
au,,,,
contraire,,,,
,,,,
la,,,,
singulière,,,,
aptitude,,,,
qu',,,,
avait,,,,
cet,,,,
étrange,,,,
garçon,,,,
à,,,,
répandre,,,,
sans,,,,
raison,,,,
des,,,,
averses,,,,
de,,,,
larmes,,,,
allait,,,,
chaque,,,,
jour,,,,
en,,,,
augmentant,,,,
.,,,,
Aussi,,,,
la,,,,
désolation,,,,
de,,,,
nos,,,,
parents,,,,
lui,,,,
fut,,,,
une,,,,
grande,,,,
fortune,,,,
...,,,,
C',,,,
est,,,,
pour,,,,
le,,,,
coup,,,,
qu',,,,
il,,,,
s',,,,
en,,,,
donna,,,,
de,,,,
sangloter,,,,
à,,,,
son,,,,
aise,,,,
,,,,
des,,,,
journées,,,,
entières,,,,
,,,,
sans,,,,
que,,,,
personne,,,,
vînt,,,,
lui,,,,
dire,,,,
:,,,,
«,,,,
Qu',,,,
as,,,,
-,,,,
tu,,,,
?,,,,
»,,,,
En,,,,
somme,,,,
,,,,
pour,,,,
Jacques,,X,,
comme,,,,
pour,,,,
moi,,,,
,,,,
notre,,,,
ruine,,,,
avait,,,,
son,,,,
joli,,,,
côté,,,,
.,,,,
Pour,,,,
ma,,,,
part,,,,
,,,,
j',,,,
étais,,,,
très,,,,
heureux,,,,
.,,,,
On,,,,
ne,,,,
s',,,,
occupait,,,,
plus,,,,
de,,,,
moi,,,,
.,,,,
J',,,,
en,,,,
profitais,,,,
pour,,,,
jouer,,,,
tout,,,,
le,,,,
jour,,,,
avec,,,,
Rouget,,X,,
parmi,,,,
les,,,,
ateliers,,,,
déserts,,,,
,,,,
où,,,,
nos,,,,
pas,,,,
sonnaient,,,,
comme,,,,
dans,,,,
une,,,,
église,,,,
,,,,
et,,,,
les,,,,
grandes,,,,
cours,,,,
abandonnées,,,,
,,,,
que,,,,
l',,,,
herbe,,,,
envahissait,,,,
déjà,,,,
,,,,
Ce,,,,
jeune,,,,
Rouget,,X,,
,,,,
fils,,,,
du,,X,,
concierge,,X,,
Colombe,,X,,
,,,,
était,,,,
un,,,,
gros,,,,
garçon,,,,
d',,,,
une,,,,
douzaine,,,,
d',,,,
années,,,,
,,,,
fort,,,,
comme,,,,
un,,,,
bœuf,,,,
,,,,
dévoué,,,,
comme,,,,
un,,,,
chien,,,,
,,,,
bête,,,,
comme,,,,
une,,,,
oie,,,,
et,,,,
remarquable,,,,
surtout,,,,
par,,,,
une,,,,
chevelure,,,,
rouge,,,,
,,,,
à,,,,
laquelle,,,,
il,,,,
devait,,,,
son,,,,
surnom,,,,
de,,,,
Rouget,,X,,
.,,,,
Seulement,,,,
,,,,
je,,,,
vais,,,,
vous,,,,
dire,,,,
:,,,,
Rouget,,X,,
,,,,
pour,,,,
moi,,,,
,,,,
n',,,,
était,,,,
pas,,,,
Rouget,,X,,
.,,,,
Il,,,,
était,,,,
tout,,,,
à,,,,
tour,,,,
mon,,,,
fidèle,,,,
Vendredi,,X,,
,,,,
une,,,,
tribu,,,,
de,,,,
sauvages,,,,
,,,,
un,,,,
équipage,,,,
révolté,,,,
,,,,
tout,,,,
ce,,,,
qu',,,,
on,,,,
voulait,,,,
.,,,,
Moi,,,,
-,,,,
même,,,,
,,,,
en,,,,
ce,,,,
temps,,,,
-là,,,,
,,,,
je,,,,
ne,,,,
m',,,,
appelais,,,,
pas,,,,
Daniel,,X,,
Eyssette,,X,,
:,,,,
j',,,,
étais,,,,
cet,,,,
homme,,,,
singulier,,,,
,,,,
vêtu,,,,
de,,,,
peaux,,,,
de,,,,
bêtes,,,,
,,,,
dont,,,,
on,,,,
venait,,,,
de,,,,
me,,,,
donner,,,,
les,,,,
aventures,,,,
,,,,
master,,X,,
Crusoe,,X,,
lui-même,,,,
.,,,,
Douce,,,,
folie,,,,
!,,,,
Le,,,,
soir,,,,
,,,,
après,,,,
souper,,,,
,,,,
je,,,,
relisais,,,,
mon,,,,
Robinson,,,,X
,,,,
je,,,,
l',,,,
apprenais,,,,
par,,,,
cœur,,,,
,,,,
le,,,,
jour,,,,
,,,,
je,,,,
le,,,,
jouais,,,,
,,,,
je,,,,
le,,,,
jouais,,,,
avec,,,,
rage,,,,
,,,,
et,,,,
tout,,,,
ce,,,,
qui,,,,
m',,,,
entourait,,,,
,,,,
je,,,,
l',,,,
enrôlais,,,,
dans,,,,
ma,,,,
comédie,,,,
.,,,,
La,,,,
fabrique,,,,
n',,,,
était,,,,
plus,,,,
la,,,,
fabrique,,,,
,,,,
c',,,,
était,,,,
mon,,,,
île,,,,
déserte,,,,
,,,,
oh,,,,
!,,,,
bien,,,,
déserte,,,,
.,,,,
Les,,,,
bassins,,,,
jouaient,,,,
le,,,,
rôle,,,,
d',,,,
Océan,,,,
.,,,,
Le,,,,
jardin,,,,
faisait,,,,
une,,,,
forêt,,,,
vierge,,,,
.,,,,
Il,,,,
y,,,,
avait,,,,
dans,,,,
les,,,,
platanes,,,,
un,,,,
tas,,,,
de,,,,
cigales,,,,
qui,,,,
étaient,,,,
de,,,,
la,,,,
pièce,,,,
et,,,,
qui,,,,
ne,,,,
le,,,,
savaient,,,,
pas,,,,
.,,,,
Rouget,,X,,
,,,,
lui,,,,
non,,,,
plus,,,,
,,,,
ne,,,,
se,,,,
doutait,,,,
guère,,,,
de,,,,
l',,,,
importance,,,,
de,,,,
son,,,,
rôle,,,,
.,,,,
Si,,,,
on,,,,
lui,,,,
avait,,,,
demandé,,,,
ce,,,,
que,,,,
c',,,,
était,,,,
que,,,,
Robinson,,,,X
,,,,
on,,,,
l',,,,
aurait,,,,
bien,,,,
embarrassé,,,,
,,,,
pourtant,,,,
je,,,,
dois,,,,
dire,,,,
qu',,,,
il,,,,
tenait,,,,
son,,,,
emploi,,,,
avec,,,,
la,,,,
plus,,,,
grande,,,,
conviction,,,,
,,,,
et,,,,
que,,,,
,,,,
pour,,,,
imiter,,,,
le,,,,
rugissement,,,,
des,,,,
sauvages,,,,
,,,,
il,,,,
n',,,,
y,,,,
en,,,,
avait,,,,
pas,,,,
comme,,,,
lui,,,,
.,,,,
Où,,,,
avait,,,,
-il,,,,
appris,,,,
?,,,,
Je,,,,
l',,,,
ignore,,,,
...,,,,
Toujours,,,,
est,,,,
-il,,,,
que,,,,
ces,,,,
grands,,,,
rugissements,,,,
de,,,,
sauvage,,,,
qu',,,,
il,,,,
allait,,,,
chercher,,,,
dans,,,,
le,,,,
fond,,,,
de,,,,
sa,,,,
gorge,,,,
,,,,
en,,,,
agitant,,,,
sa,,,,
forte,,,,
crinière,,,,
rouge,,,,
,,,,
auraient,,,,
fait,,,,
frémir,,,,
les,,,,
plus,,,,
braves,,,,
.,,,,
Moi,,,,
-,,,,
même,,,,
,,,,
Robinson,,X,,
,,,,
j',,,,
en,,,,
avais,,,,
quelquefois,,,,
le,,,,
cœur,,,,
bouleversé,,,,
,,,,
et,,,,
j',,,,
étais,,,,
obligé,,,,
de,,,,
lui,,,,
dire,,,,
à,,,,
voix,,,,
basse,,,,
!,,,,
«,,,,
Pas,,,,
si,,,,
fort,,,,
,,,,
Rouget,,X,,
,,,,
tu,,,,
me,,,,
fais,,,,
peur,,,,
.,,,,
»,,,,
Malheureusement,,,,
,,,,
si,,,,
Rouget,,X,,
,,,,
imitait,,,,
le,,,,
cri,,,,
des,,,,
sauvages,,,,
très,,,,
bien,,,,
,,,,
il,,,,
savait,,,,
encore,,,,
mieux,,,,
dire,,,,
les,,,,
gros,,,,
mots,,,,
d',,,,
enfants,,,,
de,,,,
la,,,,
rue,,,,
et,,,,
jurer,,,,
le,,,,
nom,,,,
de,,,,
Notre-Seigneur,,,,X
.,,,,
Tout,,,,
en,,,,
jouant,,,,
,,,,
j',,,,
appris,,,,
à,,,,
faire,,,,
comme,,,,
lui,,,,
,,,,
et,,,,
un,,,,
jour,,,,
,,,,
en,,,,
pleine,,,,
table,,,,
